name,patent_count
Shunpei Yamazaki,25
Kia Silverbrook,18
Tao Luo,15
Kangguo Cheng,15
Junyi Li,14
"Frederick E. Shelton, IV",14
Duncan Robert Kerr,14
Bartley K. Andre,14
Wei Wang,13
Daniele De Iuliis,13
